N,prob,se,qin_m3_s
169,0.6568047337278107,0.03652123281914886,1.537836832926199e-05
170,0.6588235294117647,0.03636215603078291,5.358473817368911e-06
171,0.6608187134502924,0.03620420813350606,5.521083303903465e-06
172,0.6627906976744186,0.036047383928453476,2.949911068377978e-06
173,0.6647398843930635,0.035891677951663065,3.1978523083556303e-06
174,0.6666666666666666,0.03573708449459316,5.140655067381183e-06
175,0.6685714285714286,0.03558359762341454,5.107022713640461e-06
176,0.6704545454545454,0.035431211197150314,5.367442525942863e-06
177,0.6666666666666666,0.035432933563515595,1.4843222425495685e-05
178,0.6685393258426966,0.035283323211953176,3.160433792200291e-06
179,0.664804469273743,0.035283329416003414,1.964752560522011e-05
180,0.6611111111111111,0.035280086441420874,1.3951059667653802e-05
181,0.6629834254143646,0.035134815573949874,5.370827538239551e-06
182,0.6648351648351648,0.03499052999307821,4.8204481302664346e-06
183,0.6612021857923497,0.03498741813632054,2.04474120978685e-05
184,0.6630434782608695,0.03484568654272264,4.882554578207188e-06
185,0.6648648648648648,0.03470490084038602,4.946862926877845e-06
186,0.6612903225806451,0.03470191279796841,1.6959891488847334e-05
187,0.6577540106951871,0.03469605782208536,1.9665663017525955e-05
188,0.6595744680851063,0.03455922984878645,5.578170459866118e-06
189,0.6613756613756614,0.034423282996420924,4.936734960703378e-06
190,0.6631578947368421,0.03428821351772444,5.56633053636505e-06
191,0.6649214659685864,0.03415401749902075,2.9663519478087872e-06
192,0.6666666666666666,0.034020690871988585,5.4988189302163445e-06
193,0.6683937823834197,0.03388822942478964,5.667545085229542e-06
194,0.6701030927835051,0.03375662881259274,5.136868561184314e-06
195,0.6717948717948717,0.03362588456752675,5.450891602591301e-06
196,0.673469387755102,0.03349599210809346,5.486115170600343e-06
197,0.6700507614213198,0.03349996125007452,1.6078584719108646e-05
198,0.6717171717171717,0.03337219045318592,5.1558686853315624e-06
199,0.6733668341708543,0.033245239263937625,5.303518609848167e-06
200,0.675,0.03311910324872942,4.9681098400144275e-06
201,0.6766169154228856,0.03299377788367588,5.359585332606954e-06
202,0.6732673267326733,0.03300003251475394,2.005543382445422e-05
203,0.6748768472906403,0.032876698164137366,3.0435954160016063e-06
204,0.6764705882352942,0.03275414443825102,5.354223322780898e-06
205,0.6731707317073171,0.03276017046919169,1.902345708288939e-05
206,0.6699029126213593,0.03276371722532802,1.9116963135293976e-05
207,0.6714975845410628,0.03264422317572848,5.4930331543437145e-06
208,0.6682692307692307,0.032646523697043045,2.0342093717761e-05
209,0.6650717703349283,0.032646527298960656,1.7001780958034944e-05
210,0.6666666666666666,0.03253000243161777,5.520292651287e-06
211,0.6635071090047393,0.03252890987642223,1.4532485882682215e-05
212,0.660377358490566,0.032525686720201626,1.4787522916154699e-05
213,0.6619718309859155,0.032412042476492924,5.678163350081002e-06
